datetime,user_id,query_id,query_time,query_cost
2026-02-27 21:44:01,U005,DQ-757924,38.82,0.3542
2026-02-23 17:06:35,U003,DQ-724834,239.07,1.8557
2026-02-22 03:13:53,U001,DQ-813328,173.11,1.5814
2026-01-01 07:33:43,U011,DQ-216970,70.79,0.3131
2026-01-11 07:57:18,U009,DQ-624902,182.99,1.3851
2026-01-15 20:08:28,U010,DQ-982554,153.53,1.302
2026-03-31 04:14:41,U014,DQ-665579,228.86,2.5866
2026-03-27 07:34:13,U015,DQ-612340,5.16,0.0586
2026-01-08 15:31:02,U010,DQ-351083,14.37,0.1567
2026-03-16 08:31:24,U003,DQ-955662,17.08,0.1682
2026-02-21 05:34:08,U012,DQ-598369,227.27,1.0196
2026-03-08 23:30:29,U014,DQ-322086,222.97,2.1845
2026-02-12 12:50:49,U015,DQ-518373,238.84,2.1135
2026-01-03 01:00:48,U015,DQ-226882,59.87,0.2141
2026-03-03 06:34:35,U014,DQ-717024,53.24,0.1937
2026-01-24 02:35:27,U013,DQ-132938,206.38,0.7508
2026-03-27 16:06:05,U003,DQ-324643,129.65,1.233
2026-01-19 11:41:14,U003,DQ-354801,188.42,1.9346
2026-03-25 20:53:07,U012,DQ-551989,85.35,0.5718
2026-03-25 15:50:33,U004,DQ-163556,96.93,0.5868
2026-01-18 19:33:29,U014,DQ-299448,128.94,0.5495
2026-02-23 10:21:03,U014,DQ-179046,106.63,1.1465
2026-03-31 22:35:29,U012,DQ-666847,200.73,2.3527
2026-03-25 22:46:53,U008,DQ-274389,97.84,0.7174
2026-01-26 17:58:04,U013,DQ-272634,91.26,1.0831
2026-03-18 01:21:52,U015,DQ-399105,101.81,1.1826
2026-01-06 16:16:33,U012,DQ-610311,37.57,0.213
2026-02-26 17:13:56,U007,DQ-163918,179.64,0.6313
2026-03-24 15:46:18,U007,DQ-265080,14.12,0.1069
2026-01-12 15:21:21,U007,DQ-171262,162.21,0.83
2026-01-08 23:02:06,U019,DQ-358175,139.15,0.4672
2026-01-20 19:57:30,U007,DQ-692683,125.71,1.4346
2026-03-04 16:07:33,U015,DQ-350280,64.11,0.2678
2026-03-02 07:24:21,U015,DQ-888387,224.61,0.6927
2026-01-13 20:38:46,U004,DQ-176819,129.26,0.9763
2026-03-22 22:45:59,U003,DQ-356150,89.0,0.3934
2026-02-21 08:31:16,U015,DQ-741390,236.13,2.4236
2026-03-27 06:11:02,U007,DQ-413921,223.66,0.8795
2026-01-28 08:32:22,U013,DQ-212235,178.31,0.7844
2026-01-26 15:07:37,U012,DQ-459536,49.26,0.429
2026-03-22 12:31:16,U015,DQ-987204,12.67,0.1103
2026-01-26 10:24:00,U013,DQ-449759,185.18,1.6174
2026-01-11 20:41:06,U003,DQ-678478,169.51,1.3642
2026-02-26 13:20:44,U012,DQ-256294,131.17,1.3788
2026-03-19 07:05:57,U003,DQ-233636,10.52,0.0661
2026-01-10 23:31:35,U002,DQ-475190,50.81,0.2665
2026-03-31 21:11:09,U007,DQ-526117,233.73,2.2778
2026-01-03 09:45:23,U006,DQ-938742,194.68,2.1284
2026-03-25 21:24:54,U015,DQ-920391,223.43,2.2835
2026-02-07 03:23:12,U008,DQ-379766,38.63,0.3597
2026-02-03 22:45:47,U016,DQ-333238,48.3,0.5442
2026-02-01 20:54:20,U014,DQ-333752,6.17,0.0292
2026-02-08 19:19:05,U013,DQ-910891,67.35,0.5909
2026-01-26 08:40:31,U007,DQ-447235,225.45,0.9104
2026-03-12 17:37:58,U015,DQ-140115,26.46,0.1829
2026-03-29 07:59:52,U014,DQ-735656,236.22,0.9545
2026-03-31 20:44:47,U015,DQ-146542,170.25,0.5133
2026-03-31 09:33:05,U007,DQ-481913,103.8,1.1978
2026-01-30 03:48:05,U015,DQ-795612,203.6,1.9297
2026-02-23 19:52:28,U012,DQ-528231,78.62,0.7292
2026-03-29 15:41:21,U003,DQ-797229,225.72,2.0531
2026-01-30 12:04:47,U007,DQ-415568,97.76,1.0268
2026-02-15 03:30:03,U003,DQ-923927,139.41,1.2397
2026-03-19 06:52:19,U012,DQ-324082,122.93,1.247
2026-02-02 13:02:42,U003,DQ-397571,123.95,1.0779
2026-01-15 07:21:34,U014,DQ-805477,74.85,0.7679
2026-02-14 05:11:47,U014,DQ-598216,146.9,1.4567
2026-02-17 23:58:56,U012,DQ-703634,47.07,0.4362
2026-03-25 12:58:18,U014,DQ-787926,165.19,1.8227
2026-03-09 13:35:31,U004,DQ-916232,102.32,0.4689
2026-02-14 07:37:59,U013,DQ-684482,60.18,0.64
2026-01-31 19:21:28,U003,DQ-800005,127.71,1.0256
2026-02-11 10:22:40,U015,DQ-742412,195.69,2.1581
2026-02-16 02:04:17,U018,DQ-567574,215.38,2.0877
2026-02-20 14:42:59,U014,DQ-980660,153.22,1.5157
2026-01-23 18:24:34,U014,DQ-387936,105.85,0.9973
2026-02-07 04:32:12,U015,DQ-666390,19.8,0.0863
2026-02-22 16:22:32,U012,DQ-324345,15.88,0.1059
2026-03-16 17:45:14,U013,DQ-316881,199.98,1.3009
2026-02-06 22:21:07,U012,DQ-120480,205.69,2.0343
2026-03-23 03:23:20,U015,DQ-413118,180.96,1.9328
2026-01-22 09:53:32,U012,DQ-870319,131.3,1.1068
2026-03-06 22:35:18,U015,DQ-557007,116.81,0.7592
2026-01-13 09:23:39,U003,DQ-859359,40.03,0.2885
2026-03-06 08:54:05,U018,DQ-128276,217.71,1.8129
2026-01-05 21:10:18,U012,DQ-549433,33.0,0.2361
2026-03-27 09:42:35,U015,DQ-321941,109.4,0.6605
2026-03-14 17:21:10,U003,DQ-364525,200.46,1.4499
2026-03-05 06:41:54,U015,DQ-335113,156.21,1.567
2026-01-15 19:04:35,U013,DQ-359295,48.25,0.1536
2026-02-15 03:36:27,U003,DQ-801978,27.9,0.3217
2026-03-11 17:53:37,U015,DQ-275939,145.61,1.6998
2026-01-31 06:54:47,U014,DQ-426147,26.39,0.0853
2026-02-27 11:41:16,U003,DQ-515922,225.98,1.0813
2026-03-24 13:19:36,U012,DQ-354646,24.91,0.2479
2026-02-03 17:02:36,U013,DQ-934904,236.13,2.3716
2026-01-02 05:28:53,U012,DQ-488571,17.02,0.1503
2026-03-28 13:31:13,U016,DQ-210665,104.33,0.6531
2026-03-05 03:40:32,U005,DQ-556641,42.68,0.3285
2026-03-12 23:24:52,U007,DQ-912270,116.3,0.8048
2026-01-28 01:56:59,U015,DQ-993085,59.3,0.6767
2026-02-06 19:06:32,U008,DQ-886931,111.8,0.9495
2026-02-04 10:48:07,U003,DQ-992288,78.34,0.5788
2026-01-27 19:45:08,U011,DQ-393243,211.34,1.9677
2026-02-17 10:28:08,U007,DQ-300337,21.0,0.1991
2026-02-13 12:19:20,U014,DQ-824156,114.52,1.0772
2026-01-30 17:30:42,U003,DQ-408528,53.57,0.4942
2026-03-14 10:09:19,U015,DQ-596249,133.06,0.8108
2026-01-23 09:11:33,U015,DQ-836996,109.17,0.6288
2026-03-16 00:01:49,U014,DQ-430876,29.13,0.2279
2026-02-27 05:50:13,U014,DQ-326895,177.4,0.9737
2026-01-19 20:19:36,U017,DQ-725780,68.28,0.2666
2026-01-13 06:57:34,U015,DQ-288158,72.89,0.6831
2026-03-03 22:20:38,U013,DQ-680238,70.47,0.8102
2026-02-15 13:46:26,U016,DQ-207570,209.52,1.7111
2026-03-25 15:57:36,U015,DQ-293319,231.74,1.2218
2026-03-08 15:32:48,U013,DQ-520172,118.27,0.969
2026-01-25 02:19:36,U014,DQ-950544,135.3,0.7759
2026-03-17 07:29:49,U003,DQ-735770,143.27,1.2272
2026-02-11 15:14:45,U003,DQ-564226,71.72,0.595
2026-03-16 01:18:22,U007,DQ-163156,146.51,1.4154
